MJ/m2/day,Spas-Demensk,Yelnya,Zhizdra,Zhukovka,Bryansk,Karachev,Navlya,Unecha,Trubchevsk,Dmitrovsk-Orlovskiy,Druzhba,Fatezh,Semenivka,Shchors,Ponyri_Vtorye,Kursk,Korop,Tim,Kurchatov,Rylsk,Hlukhiv,Oboyan,Kursk,Konotop,Nizhyn,Sumy,Oster,Vyshhorod
Jan,1.93,1.80,2.06,2.11,2.12,2.03,2.31,2.16,2.28,2.14,2.31,2.15,2.30,2.26,2.07,2.29,2.20,2.19,2.20,2.19,2.19,2.36,2.29,2.25,2.28,2.40,2.47,2.64
Feb,4.14,3.85,4.28,4.32,4.18,4.14,4.79,4.25,4.64,4.46,4.75,4.46,4.64,4.79,4.28,4.79,4.54,4.61,4.68,4.68,4.61,4.86,4.79,4.68,4.90,5.08,4.90,5.15
Mar,9.14,8.71,9.18,9.40,9.36,9.14,9.76,9.25,9.83,9.58,9.97,9.76,9.76,10.01,9.40,10.12,9.72,9.79,9.94,9.97,9.79,10.22,10.12,10.01,10.15,10.12,10.33,10.76
Apr,14.22,14.44,14.90,14.83,15.23,15.08,15.01,14.94,15.37,15.30,15.37,15.59,14.94,14.98,15.48,15.44,15.37,15.59,15.44,15.52,15.41,15.62,15.44,15.44,15.41,15.55,15.52,15.88
May,18.83,18.79,19.22,19.26,19.84,19.80,19.66,19.87,19.98,20.16,20.20,20.63,20.12,20.20,20.52,20.20,20.59,20.66,20.59,20.77,20.45,20.63,20.20,20.74,20.66,20.70,20.66,20.99
Jun,20.34,20.23,20.59,20.81,21.24,20.88,20.92,21.10,21.38,21.71,21.89,22.18,21.46,21.64,22.00,22.18,21.92,22.39,22.18,22.21,22.07,22.36,22.18,22.21,22.10,22.21,21.96,22.07
Jul,19.30,19.48,19.22,19.55,19.73,19.44,19.66,20.12,20.05,20.02,20.27,20.27,20.30,20.45,20.09,20.41,20.59,20.56,20.45,20.74,20.52,20.77,20.41,20.84,21.10,20.88,21.17,21.17
Aug,15.30,15.37,15.80,15.91,16.16,16.16,16.49,16.34,16.60,16.78,16.96,17.14,16.85,16.99,17.06,17.35,17.24,17.57,17.28,17.46,17.24,17.75,17.35,17.57,17.75,17.78,17.50,17.86
Sep,9.94,9.76,10.15,10.37,10.48,10.33,10.48,10.69,10.73,10.69,10.94,11.09,11.05,11.23,10.94,11.16,11.23,11.34,11.34,11.20,11.09,11.56,11.16,11.34,11.56,11.45,11.63,11.88
Oct,4.79,4.72,5.08,5.18,5.26,5.33,5.44,5.44,5.62,5.58,5.87,5.80,5.83,6.08,5.65,5.94,6.16,6.16,6.05,6.01,6.01,6.37,5.94,6.34,6.59,6.48,6.70,6.98
Nov,1.89,1.88,1.95,2.06,2.17,2.18,2.30,2.19,2.35,2.35,2.44,2.51,2.31,2.42,2.46,2.59,2.52,2.60,2.58,2.58,2.51,2.76,2.59,2.66,2.72,2.74,2.76,2.94
Dec,1.22,1.18,1.33,1.36,1.36,1.34,1.50,1.41,1.53,1.48,1.59,1.52,1.57,1.58,1.45,1.67,1.61,1.61,1.61,1.63,1.62,1.76,1.67,1.66,1.76,1.79,1.82,2.01
